Symbol,Date,Open,High,Low,Close,Volume
AAAU,22-May-2020,17.28,17.3277,17.26,17.3,202200
AADR,22-May-2020,46.94,47.2449,46.94,47.03,4800
AAMC,22-May-2020,16.5,16.8899,16.135,16.8899,2000
AAU,22-May-2020,0.45,0.46,0.4352,0.46,319200
ABEQ,22-May-2020,21.7891,21.93,21.7891,21.9211,14200
ACES,22-May-2020,35.01,35.41,34.66,34.85,27700
ACIO,22-May-2020,24.22,24.3,24.22,24.3,43500
ACSG,22-May-2020,23.5437,23.5437,23.5437,23.5437,100
ACSI,22-May-2020,31.38,31.38,31.3746,31.3746,1400
ACU,22-May-2020,20.25,20.39,19.5506,20.01,34100
ACWF,22-May-2020,26.66,26.66,26.511,26.65,5100
ACWV,22-May-2020,85.96,86.15,85.73,86.09,186100
ACY,22-May-2020,3.31,3.41,2.8,3.11,177800
ADME,22-May-2020,31.24,31.33,31.24,31.3036,6500
AE,22-May-2020,26.53,27.42,25.34,27.42,6500
AEF,22-May-2020,5.54,5.54,5.38,5.47,77900
AESR,22-May-2020,9.4566,9.4566,9.4566,9.4566,0
AFIF,22-May-2020,9.82,9.8202,9.79,9.8202,700
AFK,22-May-2020,15.16,15.33,15.06,15.16,8500
AFLG,22-May-2020,18.0307,18.0307,18.0307,18.0307,100
AFMC,22-May-2020,16.26,16.2736,16.26,16.2736,1000
AFSM,22-May-2020,15.95,15.9651,15.95,15.9651,500
AFTY,22-May-2020,15.44,15.5439,15.38,15.51,13500
AGE,22-May-2020,0.7582,0.78,0.75,0.7688,41300
AGG,22-May-2020,117.6,117.6,117.39,117.44,2794000
AGGP,22-May-2020,19.9773,19.9773,19.9533,19.9659,1300
AGGY,22-May-2020,53.39,53.43,53.33,53.42,140700
AGQ,22-May-2020,27.15,27.61,27.01,27.3,422000
AGT,22-May-2020,18.63,19.1512,18.63,19.1512,1400
AGZ,22-May-2020,121.13,121.16,120.9889,121.15,26600
AIEQ,22-May-2020,26.94,27.1,26.8489,27.0965,13200
AIIQ,22-May-2020,23.96,24.0332,23.95,24.0332,3300
AIM,22-May-2020,2.39,2.45,2.3102,2.37,1411400
AINC,22-May-2020,6.15,6.2904,6.03,6.21,13600
