Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,22-May-2020,12,15,-40,10,0
ADDC.IDX,22-May-2020,27,75,12,69,0
ADDE.IDX,22-May-2020,-610,281,-772,281,0
ADDN.IDX,22-May-2020,-647,-30,-1040,-32,0
ADDQ.IDX,22-May-2020,-272,364,-706,364,0
ADDS.IDX,22-May-2020,-121,-43,-224,-43,0
ADDT.IDX,22-May-2020,-907,343,-1692,342,0
ADDU.IDX,22-May-2020,-82,-82,-402,-112,0
ADDV.IDX,22-May-2020,83,121,62,121,0
ADDX.IDX,22-May-2020,-11,153,-113,147,0
ADRA.IDX,22-May-2020,1.15,1.19,0.64,1.11,0
ADRC.IDX,22-May-2020,1.45,1.71,1.12,1.62,0
ADRE.IDX,22-May-2020,0.4,1.29,0.38,1.29,0
ADRN.IDX,22-May-2020,0.47,0.96,0.28,0.96,0
ADRQ.IDX,22-May-2020,0.78,1.33,0.55,1.33,0
ADRS.IDX,22-May-2020,0.75,0.94,0.72,0.94,0
ADRT.IDX,22-May-2020,0.65,1.16,0.44,1.15,0
ADRU.IDX,22-May-2020,0.9,0.94,0.78,0.94,0
ADRV.IDX,22-May-2020,1.64,1.69,1.22,1.4,0
ADRX.IDX,22-May-2020,0.98,1.12,0.88,1.11,0
ADVA.IDX,22-May-2020,87,102,73,100,143972200
ADVC.IDX,22-May-2020,86,180,86,179,82335100
ADVE.IDX,22-May-2020,409,1246,409,1246,614962300
ADVN.IDX,22-May-2020,597,923,419,921,1643005000
ADVQ.IDX,22-May-2020,1008,1460,870,1460,2161783000
ADVS.IDX,22-May-2020,366,805,366,805,217667700
ADVT.IDX,22-May-2020,1692,2485,1380,2481,3948760000
ADVU.IDX,22-May-2020,793,1955,793,1954,2230923000
ADVV.IDX,22-May-2020,211,420,211,420,137388700
ADVX.IDX,22-May-2020,663,1405,663,1404,437391600
ASHD.IDX,22-May-2020,60,1214,60,915,0
ASHF.IDX,22-May-2020,-5,97,-692,96,0
ASHR.IDX,22-May-2020,0.91,1.1,0.42,1.1,0
ASHU.IDX,22-May-2020,55,1011,55,1011,0
AVDA.IDX,22-May-2020,19.42,85.31,19.42,76.8,0
AVDC.IDX,22-May-2020,-2.58,49.83,-6.39,49.77,0
AVDE.IDX,22-May-2020,-31.37,-31.37,-250.4,-129.46,0
AVDN.IDX,22-May-2020,-136.74,-130.05,-892.18,-502.72,0
AVDQ.IDX,22-May-2020,35.36,941.72,-17.67,941.72,0
AVDS.IDX,22-May-2020,-16.55,39.9,-23.11,31.61,0
AVDT.IDX,22-May-2020,-81.94,525.21,-659.54,515.81,0
AVDU.IDX,22-May-2020,191.39,1265.67,-324.42,1227.5,0
AVDV.IDX,22-May-2020,5.38,77.29,1.74,75.86,0
AVDX.IDX,22-May-2020,-13.75,159.04,-15.08,157.25,0
AVLD.IDX,22-May-2020,3.48,671.92,3.48,671.92,0
AVLF.IDX,22-May-2020,-2.1,34.47,-220.81,-45.38,0
AVLR.IDX,22-May-2020,0.39,1.66,0.39,0.93,0
AVLU.IDX,22-May-2020,1.38,628.61,1.38,626.53,0
AVRA.IDX,22-May-2020,3.6,3.6,1.45,2.14,0
AVRC.IDX,22-May-2020,0.69,3.27,0.56,2.52,0
AVRE.IDX,22-May-2020,0.59,0.85,0.54,0.82,0
AVRN.IDX,22-May-2020,0.33,0.77,0.22,0.76,0
AVRQ.IDX,22-May-2020,1.22,1.77,0.95,1.77,0
AVRS.IDX,22-May-2020,0.34,1.27,0.34,1.16,0
AVRT.IDX,22-May-2020,0.77,1.15,0.55,1.15,0
AVRU.IDX,22-May-2020,3.36,3.51,0.82,2.22,0
AVRV.IDX,22-May-2020,1.67,2.51,1.11,2.23,0
AVRX.IDX,22-May-2020,0.67,1.76,0.67,1.56,0
AVVA.IDX,22-May-2020,26.88,148.88,26.88,143.97,0
AVVC.IDX,22-May-2020,5.86,82.38,5.86,82.33,0
AVVE.IDX,22-May-2020,45.91,614.96,45.91,614.96,0
AVVN.IDX,22-May-2020,70.18,1643,70.18,1643,0
AVVQ.IDX,22-May-2020,191.53,2161.78,191.53,2161.78,0
AVVS.IDX,22-May-2020,8.74,217.67,8.74,217.66,0
AVVT.IDX,22-May-2020,288.6,3948.76,288.6,3948.76,0
AVVU.IDX,22-May-2020,272.3,2279.53,272.3,2230.92,0
AVVV.IDX,22-May-2020,13.31,137.38,13.31,137.38,0
AVVX.IDX,22-May-2020,27.92,437.43,27.92,437.39,0
BANK.IDX,22-May-2020,2544.17,2552.98,2489.77,2512.24,0
BCMA.IDX,22-May-2020,1404,2084,1092,2084,0
BCMC.IDX,22-May-2020,100.07,100.31,99.67,100.31,0
BCMD.IDX,22-May-2020,2195,2654,1756,1756,0
BCME.IDX,22-May-2020,190,259,190,258,0
BCMF.IDX,22-May-2020,241,295,225,249,0
BCMG.IDX,22-May-2020,26,33,13,28,0
BCMM.IDX,22-May-2020,99.63,100.4,99.19,100.4,0
BCMU.IDX,22-May-2020,110,110,45,79,0
BDMA.IDX,22-May-2020,1602,1658,1602,1658,0
BDMC.IDX,22-May-2020,100.26,100.26,100.18,100.22,0
BDMD.IDX,22-May-2020,2049,2190,2049,2190,0
BDME.IDX,22-May-2020,199,226,199,226,0
BDMF.IDX,22-May-2020,243,287,243,287,0
BDMG.IDX,22-May-2020,13,22,13,22,0
BDMM.IDX,22-May-2020,100.11,100.11,100.05,100.05,0
BDMU.IDX,22-May-2020,58,71,57,71,0
BFMA.IDX,22-May-2020,2308,2428,2308,2428,0
BFMC.IDX,22-May-2020,100.47,100.48,100.31,100.31,0
BFMD.IDX,22-May-2020,1344,1422,1344,1422,0
BFME.IDX,22-May-2020,225,260,225,260,0
BFMF.IDX,22-May-2020,210,252,210,252,0
BFMG.IDX,22-May-2020,15,18,15,18,0
BFMM.IDX,22-May-2020,101.16,101.16,101.13,101.13,0
BFMU.IDX,22-May-2020,56,68,56,68,0
BGMA.IDX,22-May-2020,2522,2619,2522,2619,0
BGMC.IDX,22-May-2020,101.07,101.08,100.96,100.97,0
BGMD.IDX,22-May-2020,1122,1215,1122,1215,0
BGME.IDX,22-May-2020,246,282,246,282,0
BGMF.IDX,22-May-2020,176,212,176,212,0
BGMG.IDX,22-May-2020,18,21,18,21,0
BGMM.IDX,22-May-2020,101.3,101.3,101.22,101.22,0
BGMU.IDX,22-May-2020,58,77,58,77,0
BKX.IDX,22-May-2020,68.6,68.77,67.19,68,0
BWH.IDX,22-May-2020,190.75,190.75,186.04,188.07,0
BXD.IDX,22-May-2020,289.85,290.48,289.26,290.32,0
BXM.IDX,22-May-2020,1272.59,1275.5,1270.66,1275.5,0
BXN.IDX,22-May-2020,632.11,633.92,631.03,633.92,0
CASH.IDX,22-May-2020,1,1,1,1,0
CEX.IDX,22-May-2020,555.96,557.91,552.76,557.32,0
COMP.IDX,22-May-2020,9278.55,9328.28,9239.41,9324.59,0
CPR.IDX,22-May-2020,2.4275,2.431,2.3715,2.3865,56127
CYM.IDX,22-May-2020,15.65,15.65,15.39,15.59,0
DCFD.IDX,22-May-2020,26.56,50,26.56,50,0
DCFI.IDX,22-May-2020,68.75,73.43,68.75,71.87,0
DCOF.IDX,22-May-2020,25,29.68,25,29.68,0
DCOH.IDX,22-May-2020,18.75,23.43,18.75,21.87,0
DCSE.IDX,22-May-2020,36132.06,36402.07,35763.46,36374.25,0
DCTH.IDX,22-May-2020,20.31,25,20.31,25,0
DCTW.IDX,22-May-2020,48.43,56.25,46.87,56.25,0
DDA.IDX,22-May-2020,32.3,38.69,30.97,31.31,0
DDB.IDX,22-May-2020,28.62,29.76,28.1,28.4,0
DECA.IDX,22-May-2020,75,113,75,90,67165200
DECC.IDX,22-May-2020,59,114,59,110,32565000
DECE.IDX,22-May-2020,1019,1292,955,965,744426500
DECN.IDX,22-May-2020,1244,1459,952,953,2145725000
DECQ.IDX,22-May-2020,1280,1590,1096,1096,1220059000
DECS.IDX,22-May-2020,487,869,486,848,186048200
DECT.IDX,22-May-2020,2599,3108,2137,2139,3432949000
DECU.IDX,22-May-2020,875,2102,875,2066,1003416000
DECV.IDX,22-May-2020,128,301,128,299,61523200
DECX.IDX,22-May-2020,674,1273,674,1257,280136400
DIFD.IDX,22-May-2020,20.68,37.93,20.68,37.93,0
DIFI.IDX,22-May-2020,79.31,82.75,79.31,79.31,0
DIOF.IDX,22-May-2020,37.93,37.93,37.93,37.93,0
DIOH.IDX,22-May-2020,34.48,37.93,34.48,37.93,0
DITH.IDX,22-May-2020,34.48,34.48,34.48,34.48,0
DITW.IDX,22-May-2020,51.72,55.17,48.27,55.17,0
DIVQ.IDX,22-May-2020,3068.77,3080.87,3057.41,3076.55,0
DJC.IDX,22-May-2020,7857.22,7882.79,7812.3,7878.64,468148600
DJEC.IDX,22-May-2020,1365.7,1376.95,1356.57,1373.93,0
