Symbol,Date,Open,High,Low,Close,Volume
AACG,22-May-2020,0.9,0.9,0.8318,0.8339,8500
AAL,22-May-2020,10.02,10.12,9.63,9.7,37596700
AAME,22-May-2020,1.97,1.97,1.81,1.95,1100
AAOI,22-May-2020,8.68,8.735,8.52,8.61,452700
AAON,22-May-2020,51.93,52.6388,51.07,51.7,183100
AAPL,22-May-2020,315.77,319.23,315.35,318.89,20450700
AAWW,22-May-2020,39.49,39.84,37.84,39.28,355100
AAXJ,22-May-2020,63.19,63.19,62.58,62.72,693800
AAXN,22-May-2020,77.11,77.19,73.6,74.11,590800
ABCB,22-May-2020,22,22.19,21.3,21.65,228000
ABEO,22-May-2020,3.23,3.36,3.13,3.23,563700
ABIO,22-May-2020,3.82,3.8609,3.7301,3.83,9200
ABMD,22-May-2020,198.03,207.215,196.03,206.16,642000
ABTX,22-May-2020,25.08,25.1,24.525,24.84,55900
ABUS,22-May-2020,2.31,2.36,2.24,2.29,813000
ACAD,22-May-2020,51.59,51.61,50.45,51.24,420500
ACAMU,22-May-2020,10.2,10.2,10.2,10.2,500
ACAMW,22-May-2020,0.55,0.55,0.5,0.5,13700
ACBI,22-May-2020,10.95,11.02,10.52,10.65,46300
ACER,22-May-2020,3.56,3.56,3.42,3.48,118900
ACGL,22-May-2020,27.77,28.58,27.54,28.3,3130700
ACGLO,22-May-2020,24.87,24.95,24.7161,24.95,20400
ACGLP,22-May-2020,23.76,23.91,23.67,23.7,41100
ACHC,22-May-2020,27.81,27.85,26.78,27.52,506400
ACHV,22-May-2020,0.45,0.45,0.4001,0.4159,842600
ACIA,22-May-2020,67.27,68.39,67,67.9,1250100
ACIU,22-May-2020,7.42,7.5917,7.34,7.45,25100
ACIW,22-May-2020,26.14,26.99,25.6,26.19,464700
ACLS,22-May-2020,25.06,25.235,24.57,25,174500
ACMR,22-May-2020,55.23,56.67,50.96,52.87,452100
ACNB,22-May-2020,23.9,24.05,23.36,23.52,7800
ACOR,22-May-2020,0.7488,0.7601,0.722,0.7556,1643300
ACRS,22-May-2020,1.24,1.28,1.2,1.23,149400
ACRX,22-May-2020,1.46,1.56,1.44,1.52,1041600
ACST,22-May-2020,0.62,0.65,0.61,0.647,755100
ACT,22-May-2020,21.845,22.1121,21.845,22.1121,1500
ACTG,22-May-2020,2.59,2.62,2.37,2.6,344000
ACTT,22-May-2020,10.06,10.1,10.06,10.08,667000
ACTTW,22-May-2020,0.95,1.09,0.925,1,106500
ACWI,22-May-2020,69.59,69.79,69.28,69.79,4058300
ACWX,22-May-2020,40.11,40.19,39.94,40.19,1604800
ADAP,22-May-2020,5.75,6.05,5.55,5.77,1374900
ADBE,22-May-2020,381.39,386.52,380.95,385.26,1688100
ADES,22-May-2020,5.1,5.1,4.88,5.05,117900
ADI,22-May-2020,110.76,111.8,109.52,111.06,1765000
ADIL,22-May-2020,1.51,1.59,1.505,1.51,16100
ADILW,22-May-2020,0.201,0.33,0.201,0.33,800
ADMA,22-May-2020,2.93,2.96,2.76,2.84,2277100
ADMP,22-May-2020,0.48,0.5565,0.4691,0.5288,4728600
ADMS,22-May-2020,2.8,2.98,2.75,2.87,348300
ADP,22-May-2020,133,135.72,131.9,134.87,2201100
ADPT,22-May-2020,40,41.9,39.85,41.73,669300
ADRE,22-May-2020,35.68,35.68,35.2141,35.3221,8900
ADRO,22-May-2020,3.31,3.3901,3.11,3.25,659000
ADSK,22-May-2020,194.03,196.9,192.51,195.78,1534500
ADTN,22-May-2020,10.89,11.2,10.81,11.2,214100
ADUS,22-May-2020,92.01,93.19,89.01,92.98,98600
ADVM,22-May-2020,20.15,20.62,19.35,20.56,574300
ADXS,22-May-2020,0.74,0.74,0.695,0.7091,888200
AEGN,22-May-2020,14.15,14.26,13.79,14.23,76700
AEHR,22-May-2020,1.58,1.64,1.5521,1.64,47300
AEIS,22-May-2020,62.65,62.65,61.375,62.23,167000
AEMD,22-May-2020,1.26,1.28,1.215,1.26,105200
AERI,22-May-2020,16.15,16.3,15.72,15.74,827800
AESE,22-May-2020,1.75,1.75,1.68,1.71,30100
AEY,22-May-2020,1.76,1.79,1.65,1.73,147600
AEYE,22-May-2020,7.62,7.7965,7.3838,7.51,38200
AEZS,22-May-2020,1.08,1.14,1.02,1.0891,410400
AFH,22-May-2020,0.4,0.418,0.3707,0.39,1576000
AFIN,22-May-2020,7.44,7.44,7.05,7.32,229900
AFINP,22-May-2020,19.3,19.3,19.1,19.2198,19200
AFMD,22-May-2020,2.87,3.06,2.81,2.99,953700
AFYA,22-May-2020,17.85,17.9,16.92,16.99,470700
AGBAW,22-May-2020,0.08,0.08,0.08,0.08,10000
AGEN,22-May-2020,2.5,2.6,2.455,2.5,2198600
AGFS,22-May-2020,3.21,3.23,3.05,3.2,223500
AGFSW,22-May-2020,0.0142,0.019,0.008,0.018,116500
AGIO,22-May-2020,49.84,52.79,49.84,52.78,519700
AGLE,22-May-2020,8.7,9.02,8.58,8.89,147500
AGMH,22-May-2020,20.2,20.825,20.2,20.514,2700
AGNC,22-May-2020,13.16,13.19,12.885,13.17,7974000
AGNCM,22-May-2020,22.31,22.7,22.31,22.7,31300
AGNCN,22-May-2020,22.8,23.04,22.77,23.04,20100
AGNCO,22-May-2020,22.12,22.17,21.82,22,175700
AGNCP,22-May-2020,21.2,21.2,21,21.18,19500
AGND,22-May-2020,38.07,38.219,37.5901,38.05,12500
AGRX,22-May-2020,2.85,2.87,2.77,2.86,893300
AGTC,22-May-2020,4.47,4.6001,4.42,4.6,217700
AGYS,22-May-2020,20.73,20.81,18.08,19.59,411400
AGZD,22-May-2020,46.59,46.71,46.52,46.6,1900
AHCO,22-May-2020,16.88,16.88,16.516,16.65,83700
AHPI,22-May-2020,11.04,11.24,9.8438,10.11,364200
AIA,22-May-2020,57.95,57.98,57.5,57.65,162000
AIH,22-May-2020,8.12,8.19,7.92,8.07,51600
AIHS,22-May-2020,0.365,0.39,0.365,0.3799,174200
AIKI,22-May-2020,0.71,0.72,0.682,0.7153,1479200
AIMC,22-May-2020,29.12,29.215,28.0805,28.45,203000
AIMT,22-May-2020,17.42,17.42,16.5189,16.94,535400
AINV,22-May-2020,9.64,9.89,9.26,9.47,1374700
AIQ,22-May-2020,18.94,19.11,18.87,19.02,18900
AIRG,22-May-2020,8.1,8.3,8.07,8.11,100300
AIRR,22-May-2020,22.01,22.01,21.73,21.85,2000
AIRT,22-May-2020,10.51,10.51,10.44,10.4808,1500
AKAM,22-May-2020,100.65,101.26,99.885,100.42,1177900
AKBA,22-May-2020,12.41,12.42,12,12.16,689500
AKCA,22-May-2020,14.91,14.91,14.39,14.66,144900
AKER,22-May-2020,3.2,3.28,3.1,3.21,215600
AKRO,22-May-2020,23.35,24.25,23.061,24.21,134200
AKRX,22-May-2020,0.183,0.1894,0.17,0.172,21781200
AKTS,22-May-2020,8.39,8.3999,8,8.22,458700
AKTX,22-May-2020,2.01,2.08,1.92,2.01,241400
ALACR,22-May-2020,0.11,0.12,0.11,0.12,3500
ALACW,22-May-2020,0.0347,0.1489,0.0347,0.042,77700
ALBO,22-May-2020,25.39,25.85,25.22,25.57,65400
ALCO,22-May-2020,30.3,31.42,30.01,31.42,15000
ALDX,22-May-2020,4.13,4.32,4,4.27,675300
ALEC,22-May-2020,31.75,34.24,31.06,33.1,493300
ALGN,22-May-2020,237.23,245.5013,235.35,243.74,967800
ALGT,22-May-2020,90.41,91,84.73,87.5,218100
ALIM,22-May-2020,5.24,5.4004,5.24,5.36,2100
ALJJ,22-May-2020,0.49,0.4903,0.41,0.45,162300
ALKS,22-May-2020,16.48,16.89,16.42,16.86,775900
ALLK,22-May-2020,74.5,76.93,73.83,76.56,123500
ALLO,22-May-2020,49.1,54.34,49.02,54.04,1147300
ALLT,22-May-2020,11.66,11.71,11.41,11.69,135100
ALNA,22-May-2020,1.89,1.959,1.85,1.88,62800
ALNY,22-May-2020,141.61,142.35,138.21,140.52,775900
ALOT,22-May-2020,6.15,6.34,6.075,6.19,14600
ALPN,22-May-2020,3.33,3.4,3.32,3.39,9600
ALRM,22-May-2020,45.38,46.56,45.18,46.36,426700
ALRN,22-May-2020,0.75,0.92,0.6836,0.83,1291200
ALRS,22-May-2020,17.81,17.92,17.8,17.87,16400
ALSK,22-May-2020,2.4,2.64,2.4,2.575,418400
ALT,22-May-2020,6,7,5.95,6.95,5003700
ALTM,22-May-2020,0.62,0.6625,0.584,0.5883,289000
ALTR,22-May-2020,36.1,36.54,35.77,36.29,178900
ALTY,22-May-2020,10.375,10.44,10.345,10.4312,7400
ALXN,22-May-2020,101.21,102.15,100.345,101.5,1063900
ALYA,22-May-2020,1.69,1.69,1.67,1.67,27200
AMAG,22-May-2020,7.58,8.11,7.415,7.93,533300
AMAL,22-May-2020,10.37,10.69,10.07,10.57,33400
AMAT,22-May-2020,55.02,55.17,53.72,54.39,7121000
AMBA,22-May-2020,57,57.54,56.36,57.29,195600
AMCA,22-May-2020,25.2707,25.4505,25.2707,25.4505,100
AMCIU,22-May-2020,10.45,10.96,10.45,10.96,4100
AMCIW,22-May-2020,0.365,0.4631,0.3375,0.4,4700
AMCX,22-May-2020,30.52,31,29.06,29.16,815400
AMD,22-May-2020,54.77,55.3748,53.78,55.17,43524100
AMED,22-May-2020,192.35,193.49,190.19,192.01,140900
AMEH,22-May-2020,17.57,17.675,17.07,17.16,68100
AMGN,22-May-2020,224.17,226.77,223.61,226.43,2334300
AMKR,22-May-2020,9.96,10,9.75,9.81,758000
AMNB,22-May-2020,24.58,24.58,23.33,23.62,6000
AMOT,22-May-2020,33.71,34.49,33.47,34.08,40900
AMPH,22-May-2020,18.57,18.61,18.03,18.54,328100
AMRB,22-May-2020,9.463,10.02,9.463,9.95,5100
AMRH,22-May-2020,1.23,1.49,1.1828,1.37,214500
AMRHW,22-May-2020,0.04,0.04,0.033,0.033,20100
AMRK,22-May-2020,16.51,17.0471,16.42,17.01,13300
AMRN,22-May-2020,6.51,7.35,6.49,7.24,13397700
AMRS,22-May-2020,3.7,3.73,3.465,3.52,1583400
AMSC,22-May-2020,6.53,6.86,6.48,6.66,278200
AMSF,22-May-2020,62.14,63.32,62.08,62.16,108400
AMSWA,22-May-2020,17.01,17.83,17.01,17.78,174700
AMTB,22-May-2020,12.04,12.04,11.39,11.65,64200
AMTD,22-May-2020,34.64,34.64,33.69,34.07,2803300
AMTX,22-May-2020,0.86,0.89,0.83,0.87,205200
AMWD,22-May-2020,60.19,60.99,58.59,60.52,157500
AMZN,22-May-2020,2455.01,2469.85,2430.13,2436.88,2867000
ANAB,22-May-2020,19.42,19.89,18.6,19.87,260900
ANAT,22-May-2020,69,70.17,68,69.5,36800
ANCN,22-May-2020,1.18,1.195,0.98,1.12,65100
ANDA,22-May-2020,10.18,10.18,10.18,10.18,5200
ANDAR,22-May-2020,0.15,0.15,0.15,0.15,300
ANDE,22-May-2020,12.5,12.54,11.52,12.05,398800
ANGI,22-May-2020,10.39,10.805,10.095,10.75,1410300
ANGL,22-May-2020,27.47,27.63,27.37,27.5,832000
ANGO,22-May-2020,10.52,11.175,10.43,11.09,174400
ANIK,22-May-2020,32.71,33.49,32.34,33.37,100600
ANIP,22-May-2020,31.75,31.75,30.78,31.57,71300
ANIX,22-May-2020,1.94,2.25,1.94,2.18,267500
ANPC,22-May-2020,7.7,7.7,7.7,7.7,1200
ANSS,22-May-2020,265.87,271.24,264.87,269.87,276400
ANTE,22-May-2020,0.6911,0.738,0.6601,0.6987,14500
