Symbol,Date,Open,High,Low,Close,Volume
A,22-May-2020,85,87.67,84.2,84.98,5063400
AA,22-May-2020,8.3,8.3683,8.02,8.21,4414800
AAN,22-May-2020,33.82,34.17,33.17,33.98,478500
AAP,22-May-2020,133.29,134.21,131.385,133.48,682500
AAT,22-May-2020,26.17,26.27,25.1,25.17,334600
AB,22-May-2020,23.68,24.33,23.59,24.27,350200
ABB,22-May-2020,18.68,18.8,18.58,18.77,2412700
ABBV,22-May-2020,92.87,93.01,91.73,92.1,5507000
ABC,22-May-2020,92.16,93.69,92.16,93.14,1027100
ABEV,22-May-2020,2.15,2.18,2.1,2.14,15958500
ABG,22-May-2020,73.73,74.285,70.26,72.07,113500
ABM,22-May-2020,32.67,32.74,32.04,32.58,201100
ABR,22-May-2020,7.6,7.94,7.45,7.89,1637000
ABR-A,22-May-2020,24,24.32,23.35,23.6,5900
ABR-B,22-May-2020,23.47,23.48,23.185,23.1955,1300
ABR-C,22-May-2020,26.605,26.605,23.78,24.5,24900
ABT,22-May-2020,90.42,91.54,89.71,91.47,5184400
AC,22-May-2020,39.97,39.97,38.4801,39.94,10800
ACA,22-May-2020,35.58,35.99,35.065,35.72,249200
ACB,22-May-2020,15.95,16.89,15.34,16.01,26010100
ACC,22-May-2020,31.79,32.295,30.87,31.45,845600
ACCO,22-May-2020,6.05,6.12,5.87,6.11,449900
ACEL,22-May-2020,9.07,9.415,9.01,9.2,256500
ACH,22-May-2020,4.84,4.84,4.75,4.79,78000
ACM,22-May-2020,35.61,36.15,35.39,35.82,1430000
ACN,22-May-2020,194.08,194.89,191.13,193.71,1317500
ACP,22-May-2020,7.74,7.77,7.66,7.71,114300
ACRE,22-May-2020,7.04,7.24,6.85,7.2,174800
ACV,22-May-2020,21.64,21.78,21.5,21.705,17700
ADC,22-May-2020,62.29,62.29,61.19,62.06,281300
ADCT,22-May-2020,34.78,36.28,34,35.3,380100
ADM,22-May-2020,35.05,35.41,34.81,35.38,1745700
ADNT,22-May-2020,17.04,17.09,16.23,16.84,865500
ADS,22-May-2020,43.36,43.76,41.81,42.05,1143600
ADSW,22-May-2020,32.1,32.1,30.2,31.94,2938600
ADT,22-May-2020,6.48,6.52,6.412,6.52,1790500
ADX,22-May-2020,14.33,14.33,14.19,14.31,130200
AEB,22-May-2020,20.97,22.24,20.97,22.14,11400
AEE,22-May-2020,69.31,69.9,69.055,69.82,1340000
AEFC,22-May-2020,22.85,23.01,22.85,22.86,130800
AEG,22-May-2020,2.49,2.49,2.41,2.46,1805700
AEL,22-May-2020,20.56,20.56,19.64,19.92,561000
AEL-A,22-May-2020,23.18,24.15,23.17,23.88,73200
AEM,22-May-2020,65.77,67.04,65.16,65.65,874200
AEO,22-May-2020,8.95,9.12,8.7,8.97,5090400
AEP,22-May-2020,77.39,78.84,77.35,78.78,2186300
AEP-B,22-May-2020,50.1099,50.1099,48.89,48.995,4300
AER,22-May-2020,29.14,29.55,28.36,28.8,1470800
AES,22-May-2020,12.3,12.34,11.965,12.24,5943600
AFB,22-May-2020,12.62,12.73,12.6,12.73,38100
AFC,22-May-2020,25.06,25.26,25,25.22,10000
AFG,22-May-2020,60.5,60.59,58.57,59.81,840800
AFGB,22-May-2020,26.25,26.3227,26.16,26.16,11500
AFGC,22-May-2020,24.85,24.85,24.55,24.79,25300
AFGH,22-May-2020,25.18,25.24,25.16,25.16,5200
AFI,22-May-2020,3.1,3.13,2.91,2.97,278400
AFL,22-May-2020,34.94,34.94,34.375,34.7,2875000
AFT,22-May-2020,12,12.03,11.96,11.99,65100
AG,22-May-2020,9.46,9.75,9.36,9.38,3919500
AGCO,22-May-2020,51.72,52.07,51.02,51.84,552700
AGD,22-May-2020,8.22,8.26,8.13,8.2,64100
AGI,22-May-2020,8.3,8.54,8.17,8.24,2831400
AGM,22-May-2020,63.13,63.25,61.7,63.17,29100
AGM-A,22-May-2020,25.18,25.18,25.18,25.18,200
AGM-C,22-May-2020,25.505,26.1,25.505,25.7387,700
AGM-D,22-May-2020,25.11,25.11,24.8,24.85,10400
AGM.A,22-May-2020,62.4576,62.4576,62.4576,62.4576,100
AGO,22-May-2020,26.47,26.69,25.96,26.27,954300
AGO-B,22-May-2020,25.98,26,25.9,25.9,2500
AGO-E,22-May-2020,25.4,25.6,25.4,25.6,6900
AGO-F,22-May-2020,25.27,25.4632,25.25,25.4632,1700
AGR,22-May-2020,40.51,41.14,40.11,40.96,353900
AGRO,22-May-2020,3.95,4.115,3.86,4.1,222900
AGS,22-May-2020,4.56,4.71,4.45,4.7,516900
AGX,22-May-2020,37.42,37.43,36.71,37.43,40100
AHC,22-May-2020,1.53,1.6,1.51,1.57,34800
AHH,22-May-2020,7.91,8.01,7.53,7.69,210900
AHH-A,22-May-2020,18.99,19.15,18.98,19.13,16000
AHL-C,22-May-2020,25.08,25.45,24.47,25,15700
AHL-D,22-May-2020,23.7,23.91,23.26,23.825,9200
AHL-E,22-May-2020,23.24,23.38,23.0441,23.38,3700
AHT,22-May-2020,0.66,0.6746,0.6188,0.6493,1346100
AHT-D,22-May-2020,7.3,7.3,6.95,7.11,8000
AHT-F,22-May-2020,5,5.22,4.74,4.85,71900
AHT-G,22-May-2020,5.23,5.2981,4.75,4.76,14700
AHT-H,22-May-2020,5.14,5.22,4.72,4.72,46200
AHT-I,22-May-2020,5.01,5.01,4.55,4.586,45300
AI,22-May-2020,2.36,2.3915,2.235,2.33,396100
AI-B,22-May-2020,16.14,16.14,16.14,16.14,100
AI-C,22-May-2020,16.5,16.5,16.4237,16.5,2400
AIC,22-May-2020,21.74,21.74,21.23,21.23,2000
AIF,22-May-2020,11.73,11.75,11.66,11.75,68500
AIG,22-May-2020,28.86,28.965,28.205,28.89,3727900
AIG-A,22-May-2020,25.93,26.25,25.76,26.215,59600
AIG.W,22-May-2020,0.84,0.84,0.75,0.79,73600
AIN,22-May-2020,55.46,56.01,54.36,55.41,113200
AIO,22-May-2020,18.39,18.72,18.39,18.72,50800
AIR,22-May-2020,18.2,18.2,17.67,17.92,207300
AIT,22-May-2020,55.4,55.4,54.14,55.2,107100
AIV,22-May-2020,35.79,35.93,35.39,35.9,697200
AIW,22-May-2020,22.01,22.01,22.01,22.01,100
AIZ,22-May-2020,100.86,101.88,99.31,101.37,453500
AIZP,22-May-2020,103.76,103.76,103.2813,103.31,56300
AJG,22-May-2020,90.96,91.172,89.895,91.1,900200
AJRD,22-May-2020,41.13,41.13,39.83,40.19,612300
AJX,22-May-2020,8.22,8.22,7.82,8.13,97600
AJXA,22-May-2020,22.08,22.15,22.08,22.15,500
AKO.A,22-May-2020,11.2,11.24,11.19,11.24,600
AKO.B,22-May-2020,14.11,14.8,12.76,14.8,5300
AKR,22-May-2020,11.61,11.74,11.09,11.4,581100
AL,22-May-2020,26.93,27.29,26.07,26.73,1002400
AL-A,22-May-2020,19.27,19.85,18.86,19.32,33400
