Ticker,Date,Open,High,Low,Close,Volume
AAPL, 2020-05-22,315.77,319.23,315.35,318.89,20228395
ABBV, 2020-05-22,92.87,93.01,91.73,92.1,4889325
ABMD, 2020-05-22,198.03,207.215,196.03,206.16,637470
ABUS, 2020-05-22,2.31,2.36,2.24,2.29,807743
ADBE, 2020-05-22,381.39,386.52,380.95,385.26,1626816
ADP, 2020-05-22,133.0,135.72,131.9,134.87,2198780
ADSK, 2020-05-22,194.03,196.9,192.51,195.78,1519124
ALB, 2020-05-22,67.8,68.42,66.87,68.11,825411
AMAT, 2020-05-22,55.02,55.17,53.72,54.39,6873917
AMD, 2020-05-22,54.77,55.3748,53.78,55.17,43392554
AMGN, 2020-05-22,224.17,226.77,223.61,226.43,2304623
AMT, 2020-05-22,228.54,242.6,227.41,242.43,2810162
AMTD, 2020-05-22,34.64,34.64,33.69,34.07,2801097
AMZN, 2020-05-22,2455.01,2469.8501,2430.1299,2436.8799,2819961
ANET, 2020-05-22,224.94,225.8,218.35,220.17,478360
AQN, 2020-05-22,13.26,13.44,13.08,13.43,362011
ATVI, 2020-05-22,73.01,73.16,72.2,73.08,5138289
AVGO, 2020-05-22,273.74,277.25,270.505,276.65,1722534
AXP, 2020-05-22,89.71,89.945,88.209,89.33,3700718
AXSM, 2020-05-22,82.42,82.9663,79.65,80.9,445591
AYX, 2020-05-22,144.99,150.349,143.8503,148.6,1268295
AZN, 2020-05-22,54.71,55.66,54.27,55.22,6006223
AZO, 2020-05-22,1106.6899,1124.9399,1088.13,1122.9399,245325
BABA, 2020-05-22,203.23,204.88,198.99,199.7,51430600
BAC, 2020-05-22,22.93,22.9502,22.46,22.66,47978623
BA, 2020-05-22,141.01,141.08,135.7766,137.53,21004586
BBY, 2020-05-22,78.99,78.99,75.82,76.92,4662216
BIDU, 2020-05-22,106.26,107.81,102.74,103.32,8163987
BIIB, 2020-05-22,304.11,305.03,300.8,304.53,679961
BKNG, 2020-05-22,1591.74,1637.29,1584.65,1631.3,560377
BLK, 2020-05-22,506.0,513.57,503.0,513.3,624428
BMRN, 2020-05-22,94.55,98.27,93.67,97.51,1223026
BMY, 2020-05-22,61.01,61.658,60.59,60.79,9153469
BUD, 2020-05-22,41.13,41.135,40.31,40.9,3167094
BURL, 2020-05-22,197.78,202.91,197.18,202.35,813730
BYND, 2020-05-22,137.26,139.38,135.07,136.8,3288688
CAH, 2020-05-22,53.05,53.7,52.64,53.59,1327696
CAT, 2020-05-22,114.13,114.16,111.47,112.47,2707536
C, 2020-05-22,44.77,45.045,43.69,44.1,22554440
CHWY, 2020-05-22,40.2,42.8,40.105,42.75,3786362
CI, 2020-05-22,189.46,189.745,186.88,189.0,806327
CLDR, 2020-05-22,9.55,9.655,9.4,9.64,1809865
CLVS, 2020-05-22,7.41,7.5,6.95,7.01,9031291
CMG, 2020-05-22,1026.78,1057.6899,1018.09,1055.7,442943
CMI, 2020-05-22,157.58,157.63,154.67,155.04,1206435
COF, 2020-05-22,60.82,61.3555,59.62,60.21,3563362
COMP, 2020-05-22,9278.5474,9328.2826,9239.4114,9324.5873,0
COP, 2020-05-22,42.91,43.36,42.3,43.28,4600939
COST, 2020-05-22,302.01,303.94,300.83,302.43,2312472
CRWD, 2020-05-22,81.0,82.7,80.0,82.22,2804628
CSCO, 2020-05-22,44.67,44.95,44.12,44.9,12354109
CVNA, 2020-05-22,94.4,96.97,92.6,96.45,1314941
CVS, 2020-05-22,63.42,63.49,62.89,63.33,3490576
CVX, 2020-05-22,91.45,91.6,89.465,90.28,8517690
DAL, 2020-05-22,23.24,23.4,22.23,22.69,36771181
DDOG, 2020-05-22,70.05,74.0,70.0,73.04,4709433
DFS, 2020-05-22,40.81,41.15,39.76,40.47,2424755
DIA, 2020-05-22,244.91,245.1,243.17,244.88,2496291
DIN, 2020-05-22,43.28,44.1,42.26,43.72,598805
DIS, 2020-05-22,117.5,118.57,116.83,118.02,9251081
DJI, 2020-05-22,24461.9805,24481.6406,24294.0703,24465.1602,0
DLTR, 2020-05-22,81.41,82.41,79.78,81.7,2390504
DNKN, 2020-05-22,65.02,65.07,63.83,64.57,452019
DNLI, 2020-05-22,24.39,25.495,24.04,25.45,356600
DOCU, 2020-05-22,136.17,136.18,131.64,133.0,2913589
DOW, 2020-05-22,35.68,36.18,35.37,36.12,2998420
DPZ, 2020-05-22,376.46,378.249,367.54,372.1,631150
EA, 2020-05-22,117.22,120.01,116.615,119.82,2269163
EBAY, 2020-05-22,42.25,43.495,42.21,43.45,9838311
EL, 2020-05-22,178.62,178.9,176.89,178.2,1017020
ESTC, 2020-05-22,78.24,84.97,77.5301,83.47,3140853
ETSY, 2020-05-22,74.43,78.15,73.4025,77.48,2766252
EXEL, 2020-05-22,24.69,24.86,24.2,24.62,2097971
FB, 2020-05-22,231.51,235.99,228.74,234.91,33564946
FDX, 2020-05-22,115.75,117.5563,114.92,117.0,2209473
FLT, 2020-05-22,239.39,240.28,235.47,239.25,328191
FND, 2020-05-22,48.85,49.99,48.53,49.79,1701491
GH, 2020-05-22,94.87,97.19,94.84,96.91,375768
GILD, 2020-05-22,73.09,73.49,72.7116,73.34,6148879
GLD, 2020-05-22,162.88,163.47,162.74,163.21,8470738
GME, 2020-05-22,4.46,4.49,4.13,4.18,2365249
GO, 2020-05-22,37.51,37.96,37.3,37.84,454066
GOOG, 2020-05-22,1396.71,1412.76,1391.83,1410.42,1292777
GOOGL, 2020-05-22,1403.9,1417.0,1395.95,1413.24,1401049
GS, 2020-05-22,180.03,180.64,178.06,179.93,2163974
HAS, 2020-05-22,68.68,68.9277,66.47,66.69,1004903
HD, 2020-05-22,240.7,242.34,238.655,241.88,3017088
HLT, 2020-05-22,78.0,78.785,76.69,78.39,2801562
HUBS, 2020-05-22,191.18,196.5,190.03,194.29,383065
IBM, 2020-05-22,119.37,119.465,117.59,118.39,4160397
ICPT, 2020-05-22,80.01,81.62,76.31,80.51,3272607
INTC, 2020-05-22,61.98,62.32,61.42,62.255,14093176
