Ticker,Date,Open,High,Low,Close,Volume
AAPL, 2020-05-18,313.17,316.5,310.3241,314.96,33722338
ABBV, 2020-05-18,92.0,93.66,91.31,91.47,16127057.0
ABMD, 2020-05-18,188.88,194.75,188.88,191.05,361761
ABUS, 2020-05-18,2.25,2.32,1.7601,1.87,2616988
ADBE, 2020-05-18,371.59,375.49,367.21,367.97,2341026
ADP, 2020-05-18,135.32,137.48,134.51,136.4,3749602
ADSK, 2020-05-18,183.84,190.81,183.04,190.1,1426977
ALB, 2020-05-18,64.0,65.32,63.245,63.93,1288005.0
AMAT, 2020-05-18,53.53,54.65,52.41,54.36,11261203
AMD, 2020-05-18,54.98,55.25,54.24,54.6,48473208
AMGN, 2020-05-18,243.66,244.39,231.795,233.19,5608156
AMTD, 2020-05-18,34.7,35.88,34.16,35.51,4584625.0
AMZN, 2020-05-18,2404.3457,2433.0,2384.01,2426.26,4345623
ANET, 2020-05-18,215.27,219.19,214.0,215.62,545570.0
AQN, 2020-05-18,13.69,13.79,13.52,13.73,403473
ATVI, 2020-05-18,73.86,74.68,72.45,72.88,8382918.0
AVGO, 2020-05-18,268.62,276.73,268.0,273.53,2641176.0
AXP, 2020-05-18,86.72,89.0,85.92,88.41,7755495
AXSM, 2020-05-18,88.2,89.0,83.73,85.28,967671.0
AYX, 2020-05-18,133.0,136.49,127.62,128.96,1919242
AZN, 2020-05-18,53.64,53.99,53.34,53.45,4918849
AZO, 2020-05-18,1097.51,1124.08,1083.0,1083.0,308047.0
BABA, 2020-05-18,212.5,215.47,210.37,215.28,23383178
BAC, 2020-05-18,22.42,23.06,22.07,22.93,85942231
BA, 2020-05-18,126.18,136.2,125.7998,135.44,43494197
BBY, 2020-05-18,82.38,87.69,82.32,87.16,4920161
BIDU, 2020-05-18,101.83,108.17,101.51,107.59,8543910
BIIB, 2020-05-18,324.0,324.0,315.285,315.9,1014022
BKNG, 2020-05-18,1430.0,1581.5601,1430.0,1557.4301,1316531
BLK, 2020-05-18,519.0,528.785,514.59,516.43,5566733.0
BMRN, 2020-05-18,96.51,96.72,95.031,95.36,1105245
BMY, 2020-05-18,64.92,65.21,63.48,63.6,14879572
BUD, 2020-05-18,41.13,43.24,41.11,43.11,2687067
BURL, 2020-05-18,177.01,185.0,176.55,178.67,864046
BYND, 2020-05-18,137.49,137.95,128.81,130.03,7924950
CAH, 2020-05-18,50.07,52.45,50.07,52.21,2709441.0
CAT, 2020-05-18,112.22,115.66,112.0061,115.02,5545976.0
C, 2020-05-18,44.05,45.91,43.49,45.67,39297559
CHWY, 2020-05-18,42.1,43.18,40.0,41.08,3591151
CI, 2020-05-18,195.24,196.2,193.36,193.51,1250853
CLDR, 2020-05-18,8.6,8.78,8.515,8.61,3509141
CLVS, 2020-05-18,10.1457,10.2,8.91,8.96,16986413.0
CMG, 2020-05-18,997.45,1017.87,992.15,998.58,773081
CMI, 2020-05-18,160.93,164.8,160.68,162.03,1750334
COF, 2020-05-18,62.41,63.98,61.52,63.4,4717396
COMP, 2020-05-18,9177.15,9267.22,9154.35,9234.83,0
COP, 2020-05-18,43.45,44.61,43.165,43.6,9011661.0
COST, 2020-05-18,301.7206,303.19,299.92,302.76,3919142
CRWD, 2020-05-18,78.11,78.99,75.78,76.1,2862993.0
CSCO, 2020-05-18,45.21,45.295,44.3301,45.06,26775245.0
CVNA, 2020-05-18,97.85,101.65,97.0,98.59,2063318
CVS, 2020-05-18,64.47,64.86,63.67,63.73,6794916
CVX, 2020-05-18,92.4,93.4,91.46,92.55,12204951.0
DAL, 2020-05-18,20.91,21.94,20.55,21.86,73878547
DDOG, 2020-05-18,69.0,69.77,66.86,67.41,4060587
DFS, 2020-05-18,40.39,41.375,40.18,41.06,5291793
DIA, 2020-05-18,243.51,247.2,243.361,245.93,5170978
DIN, 2020-05-18,39.97,42.28,38.9305,41.68,1388655
DIS, 2020-05-18,114.47,119.78,114.47,116.85,39699737
DJI, 2020-05-18,24059.9805,24708.5391,24059.9805,24597.3691,0
DLTR, 2020-05-18,77.41,78.89,76.875,78.59,2961636.0
DNKN, 2020-05-18,66.04,66.47,63.38,63.61,919685.0
DNLI, 2020-05-18,23.3,24.33,23.11,23.65,504233
DOCU, 2020-05-18,126.78,128.46,121.61,122.92,3878498
DOW, 2020-05-18,35.88,38.01,35.71,36.74,8467723.0
DPZ, 2020-05-18,378.74,378.74,361.06,364.5,1014018.0
EA, 2020-05-18,116.71,117.92,114.73,117.12,4321335
EBAY, 2020-05-18,42.6,42.9,42.33,42.5,8839077
EL, 2020-05-18,171.99,179.17,171.99,178.25,1696167
ETSY, 2020-05-18,86.975,88.02,78.03,78.18,6045014
EXEL, 2020-05-18,26.29,26.43,25.59,25.69,2785068
FB, 2020-05-18,212.15,214.6445,210.94,213.19,20114292
FDX, 2020-05-18,113.49,120.0,112.7948,119.19,3556228.0
FLT, 2020-05-18,230.0,239.47,229.03,237.77,914190.0
FND, 2020-05-18,46.5,48.26,46.19,47.7,1727749.0
GH, 2020-05-18,98.49,100.0,93.37,94.42,777014
GILD, 2020-05-18,76.46,76.5,73.86,74.76,16386861
GLD, 2020-05-18,164.33,164.495,162.4102,162.69,13894490
GME, 2020-05-18,4.4,4.63,4.36,4.58,2317227.0
GO, 2020-05-18,37.96,38.89,37.08,38.38,940752
GOOG, 2020-05-18,1361.75,1392.325,1354.25,1383.9399,1818260
GOOGL, 2020-05-18,1361.58,1392.76,1354.2,1385.1801,2342941
GS, 2020-05-18,177.71,183.1,175.24,181.88,4474605
HAS, 2020-05-18,67.0,69.49,66.8,68.26,1258812.0
HD, 2020-05-18,245.84,248.3199,244.04,245.35,8258735.0
HLT, 2020-05-18,72.17,74.67,72.08,73.07,6416674.0
HUBS, 2020-05-18,189.9,193.98,186.38,188.02,497999.0
IBM, 2020-05-18,119.88,122.36,119.75,121.56,4176919
ICPT, 2020-05-18,86.37,88.08,84.77,86.13,519437
INTC, 2020-05-18,59.7406,60.28,59.36,59.92,20181436.0
INTU, 2020-05-18,290.87,295.37,286.41,290.37,1184973
IOVA, 2020-05-18,37.36,37.45,35.574,36.56,1135191
ISRG, 2020-05-18,531.52,546.345,529.43,538.41,582744
JCOM, 2020-05-18,73.68,74.95,73.505,73.91,472168.0
JNJ, 2020-05-18,152.49,153.62,150.46,150.52,7282468
JPM, 2020-05-18,88.69,91.15,87.88,90.45,30100435
K, 2020-05-18,64.45,64.51899999999999,62.93,63.75,3150251
KMX, 2020-05-18,80.02,83.7644,79.58,79.75,2044272.0
KO, 2020-05-18,44.82,45.39,44.13,44.97,26024673.0
LEVI, 2020-05-18,12.71,13.2,12.66,13.07,1278623
LH, 2020-05-18,171.68,172.75,167.08,167.09,954630.0
LMT, 2020-05-18,371.21,380.4921,366.02,377.54,1859396
LOW, 2020-05-18,118.0,118.4,116.45,116.73,7633763.0
LRCX, 2020-05-18,259.4884,262.99,253.46,257.47,2621409
LULU, 2020-05-18,253.7328,259.61,252.03,255.65,2304452
LUV, 2020-05-18,25.75,27.24,25.55,27.09,27026085
LVS, 2020-05-18,48.11,48.66,47.29,48.39,7781702
LYFT, 2020-05-18,29.87,31.08,29.39,30.43,11819725
MA, 2020-05-18,285.46,292.0884,285.0,289.9,6019523
MAR, 2020-05-18,85.06,93.9,84.865,93.62,10972173
MCD, 2020-05-18,180.06,181.15,178.11,179.83,4458357.0
MCHP, 2020-05-18,85.81,89.51,85.56,89.02,2257256
MCK, 2020-05-18,140.14,143.85,139.17,142.68,1694087.0
M, 2020-05-18,5.55,5.7,5.25,5.42,35521356
MDB, 2020-05-18,200.0,202.8,192.57,194.17,826484
MDC, 2020-05-18,28.41,30.49,28.41,30.29,859887.0
MELI, 2020-05-18,792.53,804.65,786.03,794.56,418518.0
MGM, 2020-05-18,14.85,15.42,14.53,15.31,31925511
MHK, 2020-05-18,81.24,86.87,80.41,85.97,785357
MKC, 2020-05-18,179.67,180.38,176.19,176.33,904426
MMM, 2020-05-18,143.16,149.72,142.515,149.27,5723788.0
MNST, 2020-05-18,67.55,67.81,66.22,66.62,2179003
MRK, 2020-05-18,81.0,81.0,79.23,79.72,11933931
MRVL, 2020-05-18,26.8,27.755,26.8,27.58,8656715
MS, 2020-05-18,38.92,40.65,38.68,40.28,14624806
MSFT, 2020-05-18,185.75,186.2,183.96,184.91,35043401
MTCH, 2020-05-18,80.0,84.18,79.27,83.6,2415293.0
MU, 2020-05-18,45.83,46.15,44.95,45.92,20203139
NFLX, 2020-05-18,451.16,456.36,443.35,452.58,7764458
NIO, 2020-05-18,3.5,3.69,3.5,3.61,27710638.0
NKE, 2020-05-18,90.49,91.6,89.88,91.04,8458512
NOC, 2020-05-18,330.18,333.84,322.57,331.17,917684
NOW, 2020-05-18,378.0,381.779,373.18,374.87,1752792
NTAP, 2020-05-18,43.8,45.09,43.63,44.65,1952896.0
NVDA, 2020-05-18,350.42,356.66,347.2201,350.01,19257219
NVS, 2020-05-18,84.78,85.4199,84.62,84.85,1496892.0
OKTA, 2020-05-18,183.64,185.91,178.5,179.43,1586564
ON, 2020-05-18,14.83,15.7,14.83,15.61,9283173
ORLY, 2020-05-18,416.3,423.31,408.84,409.89,952959.0
PEP, 2020-05-18,136.85,137.99,135.06,135.52,8458880
PFE, 2020-05-18,38.34,38.46,37.63,38.07,21271981.0
PG, 2020-05-18,116.03,116.99,114.71,116.21,10010712.0
PINS, 2020-05-18,18.9,18.935,18.3002,18.52,10525890.0
PLNT, 2020-05-18,56.82,59.69,55.94,57.7,3155224
PM, 2020-05-18,69.66,69.87,68.0,68.25,6651007.0
PRVB, 2020-05-18,13.85,14.0399,13.5382,13.87,271983
PTON, 2020-05-18,47.29,48.215,43.4,43.61,16780053
PYPL, 2020-05-18,148.125,149.18,145.99,146.24,8557626.0
QCOM, 2020-05-18,77.27,80.18,77.21,79.94,13129526
QQQ, 2020-05-18,226.28,228.68,225.47,227.43,42249614
RACE, 2020-05-18,161.38,164.3,161.17,162.76,230103.0
RCL, 2020-05-18,41.2,44.98,41.2,43.7,29290727
REGN, 2020-05-18,582.0,583.54,558.885,560.28,962346
